K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,68,68,256,1,2,1,1,32,4,1,32,2.88152
128,68,68,256,1,1,1,17,32,4,1,1,0.28293
128,68,68,256,1,4,1,2,32,1,2,16,0.622385
128,68,68,256,1,1,4,17,32,1,1,16,0.30234
128,68,68,256,1,1,2,2,32,2,2,2,0.47699
128,68,68,256,1,4,2,4,32,2,1,2,0.29723
128,68,68,256,1,1,1,4,32,1,1,8,0.82832
128,68,68,256,1,1,2,17,32,2,1,2,0.29694
128,68,68,256,1,2,1,1,32,1,1,16,2.800865
128,68,68,256,1,4,1,2,32,1,1,4,0.656545
128,68,68,256,1,2,2,4,32,1,1,16,0.6745
128,68,68,256,1,2,1,17,32,4,1,1,0.274445
128,68,68,256,1,2,1,4,32,1,1,32,1.123265
128,68,68,256,1,1,2,2,32,2,1,1,0.830255
128,68,68,256,1,1,1,2,32,2,2,32,1.48806
128,68,68,256,1,1,1,2,32,2,1,1,0.88357
128,68,68,256,1,2,1,2,32,1,2,1,0.5533600000000001
128,68,68,256,1,2,1,2,32,4,1,16,0.8881
128,68,68,256,1,4,2,17,32,1,1,32,0.29771000000000003
128,68,68,256,1,1,1,1,32,4,2,2,1.47224
128,68,68,256,1,2,2,17,32,2,1,4,0.17867
128,68,68,256,1,1,1,1,32,2,1,16,2.3571999999999997
128,68,68,256,1,1,1,2,32,1,2,8,0.8392
128,68,68,256,1,4,2,4,32,2,1,16,0.43683
128,68,68,256,1,2,1,1,32,2,1,8,1.22344
128,68,68,256,1,2,1,1,32,2,1,32,2.86432
128,68,68,256,1,1,1,4,32,4,1,8,0.50312
128,68,68,256,1,2,1,1,32,1,4,1,0.8689800000000001
128,68,68,256,1,1,1,4,32,2,1,4,0.45248
128,68,68,256,1,1,1,1,32,2,1,8,1.844355
128,68,68,256,1,2,2,2,32,1,1,2,0.705775
128,68,68,256,1,1,1,4,32,4,1,32,0.889715
128,68,68,256,1,1,2,2,32,2,1,2,0.69973
128,68,68,256,1,2,1,17,32,2,1,1,0.271935
128,68,68,256,1,2,1,1,32,4,4,32,2.2169749999999997
128,68,68,256,1,1,1,2,32,4,1,2,0.821905
128,68,68,256,1,4,1,1,32,1,4,8,0.69661
128,68,68,256,1,4,1,1,32,2,1,8,0.88038
128,68,68,256,1,4,1,4,32,1,1,2,0.459155
128,68,68,256,1,2,1,4,32,4,1,4,0.300045
128,68,68,256,1,2,1,1,32,2,1,16,1.747695
128,68,68,256,1,4,1,4,32,1,1,4,0.45459499999999997
128,68,68,256,1,4,1,4,32,2,1,2,0.5705100000000001
128,68,68,256,1,4,2,4,32,2,1,1,0.392385
128,68,68,256,1,4,1,4,32,1,1,8,0.528915
128,68,68,256,1,1,1,1,32,1,2,1,1.467105
128,68,68,256,1,1,1,1,32,4,2,4,1.506625
128,68,68,256,1,4,1,1,32,2,4,16,1.04942
128,68,68,256,1,2,1,2,32,2,1,32,1.41136
128,68,68,256,1,4,1,2,32,4,2,16,0.635585
128,68,68,256,1,4,2,17,32,2,1,2,0.219825
128,68,68,256,1,1,1,1,32,1,1,1,2.958275
128,68,68,256,1,1,1,1,32,1,1,4,2.77469
128,68,68,256,1,4,1,2,32,2,2,16,0.6240300000000001
128,68,68,256,1,4,1,1,32,1,2,8,0.731375
128,68,68,256,1,4,1,2,32,2,2,4,0.39248
128,68,68,256,1,4,1,17,32,4,1,4,0.11014
128,68,68,256,1,1,1,1,32,2,2,1,1.4815399999999999
128,68,68,256,1,4,1,17,32,1,1,2,0.170865
128,68,68,256,1,2,1,2,32,4,2,16,0.79152
128,68,68,256,1,1,2,17,32,1,1,8,0.231885
128,68,68,256,1,1,1,1,32,1,4,32,2.5812
128,68,68,256,1,4,1,17,32,4,1,1,0.31059
128,68,68,256,1,2,1,1,32,1,4,8,0.98741
128,68,68,256,1,4,2,2,32,1,1,1,0.70091
128,68,68,256,1,1,1,1,32,1,1,2,2.753475
128,68,68,256,1,1,4,17,32,1,1,1,0.24755
128,68,68,256,1,2,1,1,32,2,2,4,0.8804799999999999
128,68,68,256,1,1,1,2,32,1,1,8,1.576415
128,68,68,256,1,4,1,4,32,2,1,32,0.7876799999999999
128,68,68,256,1,4,1,1,32,2,4,2,0.54069
128,68,68,256,1,4,1,1,32,2,1,4,0.659505
128,68,68,256,1,2,2,4,32,2,1,16,0.48221
128,68,68,256,1,2,1,4,32,1,1,1,0.5453749999999999
128,68,68,256,1,1,1,2,32,1,2,32,1.455025
128,68,68,256,1,1,4,17,32,1,1,8,0.24486
128,68,68,256,1,4,1,2,32,2,1,16,0.719665
128,68,68,256,1,1,2,17,32,1,1,2,0.292545
128,68,68,256,1,4,2,2,32,2,1,8,0.5565899999999999
128,68,68,256,1,4,1,4,32,4,1,1,0.41159999999999997
128,68,68,256,1,2,2,4,32,1,1,1,0.67533
128,68,68,256,1,2,1,1,32,4,2,8,1.084095
128,68,68,256,1,2,1,4,32,4,1,8,0.34099
128,68,68,256,1,1,1,17,32,2,1,4,0.224275
128,68,68,256,1,1,1,1,32,4,1,32,3.47781
128,68,68,256,1,1,2,2,32,1,1,4,1.12368
128,68,68,256,1,1,2,2,32,2,2,8,0.51064
128,68,68,256,1,1,1,2,32,1,1,32,2.75896
128,68,68,256,1,1,1,2,32,1,1,16,1.963745
128,68,68,256,1,1,2,17,32,2,1,32,0.36675
128,68,68,256,1,1,2,17,32,2,1,16,0.28766
128,68,68,256,1,1,1,1,32,2,4,16,1.9687
128,68,68,256,1,4,2,17,32,1,1,4,0.1356
128,68,68,256,1,2,1,1,32,4,4,16,1.4690400000000001
128,68,68,256,1,2,1,2,32,4,2,32,1.2150750000000001
128,68,68,256,1,2,1,1,32,4,2,1,0.9215500000000001
128,68,68,256,1,4,2,17,32,2,1,32,0.30123500000000003
128,68,68,256,1,1,1,1,32,1,2,32,2.71642
128,68,68,256,1,2,1,17,32,1,1,8,0.179855
128,68,68,256,1,2,2,4,32,2,1,1,0.42363
128,68,68,256,1,2,1,1,32,2,2,16,1.43469
128,68,68,256,1,2,2,2,32,2,1,32,1.135535
128,68,68,256,1,2,1,4,32,2,1,1,0.4108
128,68,68,256,1,4,1,4,32,4,1,32,0.79226
128,68,68,256,1,1,2,17,32,1,1,4,0.23832
128,68,68,256,1,2,1,1,32,2,4,1,0.897425
128,68,68,256,1,4,1,2,32,1,1,16,1.13373
128,68,68,256,1,2,1,1,32,2,2,1,0.887325
128,68,68,256,1,2,1,1,32,4,4,2,0.885535
128,68,68,256,1,2,2,2,32,1,2,8,0.349105
128,68,68,256,1,2,1,1,32,1,1,8,2.01846
128,68,68,256,1,4,1,1,32,1,1,32,3.6349299999999998
128,68,68,256,1,2,4,4,32,1,1,1,0.349165
128,68,68,256,1,1,1,2,32,2,2,2,0.7834399999999999
128,68,68,256,1,2,1,1,32,2,4,32,2.1175550000000003
128,68,68,256,1,1,1,2,32,4,1,4,0.84451
128,68,68,256,1,4,4,4,32,1,1,2,0.31776000000000004
128,68,68,256,1,2,1,17,32,1,1,4,0.15747
128,68,68,256,1,4,2,17,32,2,1,8,0.167295
128,68,68,256,1,1,2,4,32,1,1,8,0.683265
128,68,68,256,1,1,1,4,32,1,1,1,0.83664
128,68,68,256,1,1,1,1,32,4,4,16,2.11192
128,68,68,256,1,1,2,2,32,1,2,2,0.466815
128,68,68,256,1,1,1,1,32,1,4,16,1.870465
128,68,68,256,1,1,1,2,32,1,1,2,1.4106049999999999
128,68,68,256,1,4,1,1,32,4,2,16,1.125695
128,68,68,256,1,4,1,1,32,2,4,1,0.613185
128,68,68,256,1,4,4,4,32,1,1,8,0.37751999999999997
128,68,68,256,1,1,1,1,32,4,2,32,2.870515
