K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
128,68,68,256,1,68,2,1,4,8,1,1,1,1,1,0.200685
128,68,68,256,1,2,2,1,4,8,1,2,2,1,1,0.13107
128,68,68,256,1,8,2,1,1,32,1,1,2,1,32,0.18432
128,68,68,256,1,8,2,1,2,16,1,17,1,1,1,0.143345
128,68,68,256,1,2,2,1,8,4,1,1,8,1,2,0.11366
128,68,68,256,1,2,2,1,8,4,1,1,4,1,256,0.12598
128,68,68,256,1,2,2,1,1,32,1,17,1,1,8,0.113135
128,68,68,256,1,8,4,1,1,32,1,1,1,1,1,0.16077
128,68,68,256,1,2,8,1,2,16,1,2,1,1,1,0.09728
128,68,68,256,1,34,4,1,2,16,1,1,2,1,32,0.2519
128,68,68,256,1,4,2,1,4,8,1,1,8,1,4,0.07678499999999999
128,68,68,256,1,34,2,1,1,32,1,1,2,1,4,0.108
128,68,68,256,1,2,2,1,1,32,1,4,2,1,8,0.09014
128,68,68,256,1,4,4,1,2,16,1,2,1,1,4,0.06554
128,68,68,256,1,2,8,1,8,4,1,1,1,1,128,0.41981
128,68,68,256,1,2,16,1,4,8,1,17,1,1,2,0.1628
128,68,68,256,1,2,2,1,2,16,1,4,1,1,16,0.0727
128,68,68,256,1,4,4,1,1,32,1,17,1,1,1,0.14538
128,68,68,256,1,34,2,1,1,32,1,8,2,1,2,0.24680000000000002
128,68,68,256,1,4,2,1,1,32,1,4,2,1,1,0.08909
128,68,68,256,1,2,8,1,8,4,1,17,1,1,2,0.11674
128,68,68,256,1,34,2,1,1,32,1,8,1,1,2,0.16384
128,68,68,256,1,4,8,1,2,16,1,17,1,1,2,0.16483
128,68,68,256,1,2,2,1,4,8,1,2,4,1,8,0.07578
128,68,68,256,1,4,2,1,2,16,1,2,2,1,8,0.06349
128,68,68,256,1,34,2,1,1,32,1,8,2,1,4,0.19763
128,68,68,256,1,4,4,1,1,32,1,17,1,1,32,0.06758
128,68,68,256,1,4,4,1,4,8,1,1,1,1,2,0.089075
128,68,68,256,1,2,2,1,8,4,1,17,1,1,1,0.15056
128,68,68,256,1,34,2,1,1,32,1,1,1,1,32,0.19763
128,68,68,256,1,34,4,1,2,16,1,1,2,1,1,0.19866
128,68,68,256,1,2,8,1,8,4,1,1,2,1,1,0.08602
128,68,68,256,1,16,2,1,1,32,1,1,1,1,16,0.069615
128,68,68,256,1,4,2,1,2,16,1,1,1,1,32,0.10032
128,68,68,256,1,34,4,1,2,16,1,2,2,1,16,0.2089
128,68,68,256,1,34,2,1,1,32,1,4,1,1,16,0.06758
128,68,68,256,1,2,2,1,8,4,1,1,2,1,1,0.1536
128,68,68,256,1,4,4,1,4,8,1,17,1,1,16,0.06656
128,68,68,256,1,34,2,1,4,8,1,1,4,1,8,0.07578
128,68,68,256,1,4,8,1,2,16,1,17,1,1,1,0.21811
128,68,68,256,1,2,4,1,2,16,1,1,2,1,1,0.11059
128,68,68,256,1,2,2,1,1,32,1,1,2,1,64,1.73928
128,68,68,256,1,2,2,1,4,8,1,2,1,1,8,0.079855
128,68,68,256,1,2,16,1,4,8,1,2,1,1,8,0.06246
128,68,68,256,1,34,2,1,8,4,1,1,16,1,8,0.18224
128,68,68,256,1,68,2,1,2,16,1,2,4,1,16,0.29085
128,68,68,256,1,2,4,1,4,8,1,17,1,1,4,0.07578
128,68,68,256,1,68,2,1,4,8,1,1,2,1,16,0.40758
128,68,68,256,1,2,2,1,1,32,1,2,2,1,32,0.12749
128,68,68,256,1,4,2,1,4,8,1,1,4,1,128,0.15459
128,68,68,256,1,4,2,1,2,16,1,2,4,1,16,0.06346
